word,meaning,phonetic,example,example_cn
eat breakfast,吃早饭,,I always eat breakfast before going to school.,我总是在上学前吃早饭。
have class,上课,,,
play sports,进行体育运动,,It is important to play sports every day.,每天进行体育运动很重要。
do morning exercises,做早操,,The students do morning exercises in the playground.,学生们在操场上做早操。
eat dinner,吃晚饭,,My family eats dinner together every evening.,我家每天晚上一起吃晚饭。
clean my room,打扫我的房间,,I need to clean my room this weekend.,我这个周末需要打扫我的房间。
go for a walk,散步,,Let's go for a walk after dinner.,晚饭后我们去散步吧。
go shopping,去买东西；购物,,I need to go shopping for some new clothes.,我需要去买些新衣服。
take,学习；上（课）,/teɪk/,Please take a seat.,请坐下。
dancing,跳舞；舞蹈,/ˈdɑːnsɪŋ/,She has been learning dancing since she was five.,她从五岁起就一直学跳舞。
take a dancing class,上舞蹈课,,She takes a dancing class every Saturday.,她每周六上舞蹈课。
exercise,活动；运动,/ˈeksəsaɪz/,You should exercise every day to stay healthy.,你应该每天锻炼以保持健康。
when,什么时候；何时,/wen/,When is your birthday?,你的生日是什么时候？
Spain,西班牙,/speɪn/,Spain is famous for its beaches.,西班牙以其海滩闻名。
p.m.,午后；下午,/ˌpiːˈem/,The movie starts at seven p.m.,电影晚上七点开始。
shop,去买东西；购物,/ʃɒp/,The shop sells fruits and vegetables.,这家商店卖水果和蔬菜。
work,工作,/wɜːk/,My father goes to work by bus.,我爸爸乘公交车去上班。
last,上一个的；刚过去的,/lɑːst/,He was the last person to leave the office.,他是最后一个离开办公室的人。
sound,听起来好像,/saʊnd/,That sounds like a great idea.,那听起来是个好主意。
play,戏剧；剧本,/pleɪ/,The children are playing in the park.,孩子们正在公园里玩耍。
letter,信,/ˈletə(r)/,I received a letter from my grandmother yesterday.,我昨天收到了祖母的一封信。
live,居住,/lɪv/,She lives in a small town near the coast.,她住在海边的一个小镇上。
island,岛,/ˈaɪlənd/,They spent a week on a small island.,他们在一个小岛上待了一周。
cave,山洞；洞穴,/keɪv/,The explorers discovered a dark cave in the mountain.,探险家在山中发现了一个黑暗的洞穴。
win,获胜,/wɪn/,I hope our team will win.,我希望我们队能赢。
spring,春天,/sprɪŋ/,Flowers bloom in spring.,春天花儿开了。
summer,夏天,/ˈsʌmə(r)/,I go swimming every summer.,我每年夏天都去游泳。
autumn,秋天,/ˈɔːtəm/,The leaves turn red and yellow in autumn.,秋天树叶变成红色和黄色。
winter,冬天,/ˈwɪntə(r)/,Winter is the coldest season.,冬天是最冷的季节。
season,季节,/ˈsiːzn/,Autumn is my favorite season of the year.,秋天是一年中我最喜欢的季节。
picnic,野餐,/ˈpɪknɪk/,We had a picnic in the park on Sunday.,我们星期天在公园野餐了。
go on a picnic,去野餐,,The family will go on a picnic in the park.,这家人要去公园野餐。
go swimming,去游泳,,We go swimming at the pool every Tuesday.,我们每周二去游泳池游泳。
pick apples,摘苹果,,We went to the farm to pick apples.,我们去农场摘苹果了。
make a snowman,堆雪人,,The children make a snowman in winter.,孩子们在冬天堆雪人。
snow,雪,/snəʊ/,The snow covered everything in white.,雪把一切都覆盖成了白色。
vacation,假期,/veɪˈkeɪʃn/,We went to Japan on vacation.,我们去日本度假了。
pink,粉色；粉色的,/pɪŋk/,The little girl likes wearing pink dresses.,那个小女孩喜欢穿粉红色的裙子。
leaf,叶子,/liːf/,A leaf fell from the tree and landed on the ground.,一片叶子从树上落下，掉在了地上。
paint,用颜料绘画,/peɪnt/,She likes to paint pictures of flowers.,她喜欢画花朵的画。
pick,摘；采集,/pɪk/,Please pick a number between one and ten.,请在一到十之间选一个数字。
January,一月,/ˈdʒænjuəri/,January is the first month of the year.,一月是一年中的第一个月。
February,二月,/ˈfebruəri/,February is the shortest month of the year.,二月是一年中最短的月份。
March,三月,/mɑːtʃ/,Spring begins in March.,春天从三月开始。
April,四月,/ˈeɪprəl/,April is the fourth month of the year.,四月是一年中的第四个月。
May,五月,/meɪ/,May I borrow your pen for a moment?,我可以借用一下你的笔吗？
June,六月,/dʒuːn/,School ends in June.,学校在六月放假。
July,七月,/dʒuˈlaɪ/,July is usually very hot.,七月通常很热。
August,八月,/ˈɔːɡəst/,We usually go on vacation in August.,我们通常八月份去度假。
September,九月,/sepˈtembə(r)/,School starts in September.,学校在九月开学。
October,十月,/ɒkˈtəʊbə(r)/,October is my favorite month.,十月是我最喜欢的月份。
November,十一月,/nəʊˈvembə(r)/,November comes after October.,十一月在十月之后。
December,十二月,/dɪˈsembə(r)/,December is the last month of the year.,十二月是一年中的最后一个月。
few,不多；很少,/fjuː/,There are only a few apples left in the basket.,篮子里只剩下几个苹果了。
a few,一些,,I have a few friends in this city.,我在这座城市有几个朋友。
thing,事情,/θɪŋ/,What is that thing on the table?,桌子上那个东西是什么？
meet,集会；开会,/miːt/,"Nice to meet you, my name is Tom.",很高兴认识你，我叫汤姆。
sports meet,运动会,,Our school had a sports meet last Friday.,上周五我们学校举行了运动会。
year,年,/jɪə(r)/,"This year, I want to learn English.",今年，我想学英语。
plant,种植,/plɑːnt/,I water my plant every morning.,我每天早上给我的植物浇水。
contest,比赛；竞赛,/ˈkɒntest/,She won first prize in the singing contest.,她在歌唱比赛中获得了一等奖。
the Great Wall,长城,,The Great Wall is very long and old.,长城非常长且古老。
national,国家的,/ˈnæʃnəl/,The national flag is raised every morning at the school.,学校每天早晨升起国旗。
National Day,国庆日,,We have a holiday on National Day.,国庆日我们放假。
