word,meaning,phonetic,example,example_cn
team,队；（一起工作的）组，班,/tiːm/,,
player,运动员；参赛选手,/ˈpleɪə(r)/,,
him,他,/hɪm/,I saw him at the store.,我在商店看到他了。
lovely,美丽的；优美的,/ˈlʌvli/,What a lovely day for a walk in the park!,多么美好的一天，适合在公园散步！
clever,聪明的；聪颖的,/ˈklevə(r)/,The clever fox found a way to get the grapes.,聪明的狐狸找到了够到葡萄的方法。
young,幼小的；年轻的,/jʌŋ/,She is young and full of energy.,她很年轻，充满活力。
hard-working,工作努力的；辛勤的,/hɑːd ˈwɜːkɪŋ/,She is a hard-working student.,她是一个勤奋的学生。
science,科学；自然科学,/ˈsaɪəns/,We learned about plants in science class.,我们在科学课上学习了关于植物的知识。
robot,机器人,/ˈrəʊbɒt/,The robot can clean the floor by itself.,这个机器人可以自己清洁地板。
jump,跳；跃,/dʒʌmp/,The frog can jump very far.,青蛙能跳得很远。
rope,绳；粗绳,/rəʊp/,,
piano,钢琴,/piˈænəʊ/,,
chess,国际象棋,/tʃes/,,
front,前部,/frʌnt/,There is a big garden in front of the house.,房子前面有一个大花园。
easy,容易的；轻易的,/ˈiːzi/,This question is easy.,这个问题很简单。
star,歌唱（或表演）明星,/stɑː(r)/,There are many stars in the sky tonight.,今晚天空中有很多星星。
wonderful,精彩的；绝妙的,/ˈwʌndəfl/,What a wonderful day!,多么美好的一天！
Australia,澳大利亚,/ɒˈstreɪliə/,Kangaroos are native to Australia.,袋鼠是澳大利亚本土动物。
sad,悲哀的；难过的,/sæd/,He felt sad when his friend moved away.,他的朋友搬走后，他感到很难过。
matter,事情；问题,/ˈmætə(r)/,What is the matter with you today?,你今天怎么了？
project,项目；方案,/ˈprɒdʒekt/,,
centre,中心,/ˈsentə(r)/,,
agree,同意；赞成,/əˈɡriː/,,
finish,完成；做好,/ˈfɪnɪʃ/,I need to finish my homework before watching TV.,我看电视前需要完成作业。
Monday,星期一,/ˈmʌndeɪ/,Monday is the first day of the school week.,星期一是学校每周的第一天。
worried,担心的；担忧的,/ˈwʌrid/,She is worried about the exam.,她很担心考试。
excited,激动的；兴奋的,/ɪkˈsaɪtɪd/,The children are excited about the trip to the zoo.,孩子们对去动物园的旅行感到兴奋。
wrong,错误的,/rɒŋ/,Your answer is wrong; please try again.,你的答案是错的，请再试一次。
angry,愤怒的；生气的,/ˈæŋɡri/,My mother was angry when I broke the vase.,我打碎花瓶时，妈妈很生气。
afraid,担心；害怕,/əˈfreɪd/,Do not be afraid to ask questions in class.,不要害怕在课堂上提问。
parent,父亲；母亲,/ˈpeərənt/,,
ask,问；询问,/ɑːsk/,Can I ask you a question about the homework?,我能问你一个关于作业的问题吗？
move,搬家；移动,/muːv/,Please move your chair closer to the table.,请把你的椅子挪近桌子。
Wednesday,星期三,/ˈwenzdeɪ/,We have a team meeting every Wednesday afternoon.,我们每周三下午都有团队会议。
subject,科目；学科,/ˈsʌbdʒɪkt/,,
Tuesday,星期二,/ˈtjuːzdeɪ/,She has a piano lesson every Tuesday.,她每周二都有钢琴课。
Friday,星期五,/ˈfraɪdeɪ/,We have a test this Friday.,我们这个星期五有考试。
because,因为,/bɪˈkɒz/,I stayed home because it was raining.,我待在家里因为下雨了。
Thursday,星期四,/ˈθɜːzdeɪ/,The meeting is scheduled for Thursday morning.,会议安排在星期四上午。
start,开始,/stɑːt/,The movie starts at seven o'clock.,电影七点钟开始。
usually,通常地；经常地,/ˈjuːʒuəli/,I usually get up at seven.,我通常七点起床。
weekend,周末,/ˌwiːkˈend/,What do you do on the weekend?,你周末做什么？
sometimes,有时；间或,/ˈsʌmtaɪmz/,Sometimes I walk to school.,有时我走路去上学。
Saturday,星期六,/ˈsætədeɪ/,We often go swimming on Saturday.,我们经常星期六去游泳。
Sunday,星期日,/ˈsʌndeɪ/,Sunday is a day of rest for many people.,星期天对很多人来说是休息日。
lesson,课；一节课,/ˈlesn/,The first lesson in the book is very easy.,书中的第一课非常简单。
evening,晚上；傍晚,/ˈiːvnɪŋ/,I like to take a walk in the evening after dinner.,我喜欢晚饭后傍晚时分去散步。
answer,答复；回答,/ˈɑːnsə(r)/,,
ping-pong,乒乓球,/ˈpɪŋ pɒŋ/,I like to play ping-pong after school.,我喜欢放学后打乒乓球。
night,夜；夜晚,/naɪt/,The stars are brightest in the night sky far from the city.,远离城市的夜空中星星最明亮。
visit,看望；拜访；参观,/ˈvɪzɪt/,I want to visit my grandmother.,我想去看望我的祖母。
grandparent,祖父；祖母；外祖父；外祖母,/ˈɡrænpeərənt/,Both of my grandparents came to my school play.,我的祖父母和外祖父母都来看我的学校演出。
stay,待；保持,/steɪ/,We will stay at home this weekend.,这个周末我们会待在家里。
should,（提出或征询建议）该，可以,/ʃʊd/,You should brush your teeth before bed.,你应该在睡觉前刷牙。
flu,流行性感冒；流感,/fluː/,He stayed home because he had the flu.,他因为得了流感而呆在家里。
else,其他的；别的,/els/,Would you like anything else to drink?,你还想喝点别的什么吗？
exercise,锻炼；训练,/ˈeksəsaɪz/,You should exercise every day to stay healthy.,你应该每天锻炼以保持健康。
enough,足够的；充足的,/ɪˈnʌf/,,
if,如果；假若,/ɪf/,"If it rains tomorrow, we will stay at home.",如果明天下雨，我们就待在家里。
habit,习惯,/ˈhæbɪt/,,
show,（电视或广播）节目,/ʃəʊ/,Can you show me your new watch?,你能给我看看你的新手表吗？
phone,电话；电话机,/fəʊn/,I need to charge my phone.,我需要给手机充电。
rest,休息；放松,/rest/,,
check,查看；查明,/tʃek/,,
less,（与不可数名词连用）较少的,/les/,,
brush,（用刷子）刷净,/brʌʃ/,,
tooth,牙；齿,/tuːθ/,,
twice,两次；两遍,/twaɪs/,,
hour,小时,/ˈaʊə(r)/,,
free,没有安排活动的；空闲的,/friː/,,
hungry,感到饿的,/ˈhʌŋɡri/,I am very hungry.,我很饿。
beef,牛肉,/biːf/,I like to eat beef for dinner.,我晚餐喜欢吃牛肉。
ice cream,（一份）冰激凌,/ˌaɪs ˈkriːm/,The children love to eat ice cream in summer.,孩子们夏天喜欢吃冰淇淋。
little,少许；一点,/ˈlɪtl/,The little puppy was playing in the garden.,那只小狗正在花园里玩耍。
dumpling,饺子；汤圆,/ˈdʌmplɪŋ/,,
tea,茶叶；茶,/tiː/,Would you like a cup of tea?,你想喝杯茶吗？
hamburger,汉堡包,/ˈhæmbɜːɡə(r)/,I ordered a hamburger and fries for lunch.,我午餐点了一个汉堡包和薯条。
coconut,椰子,/ˈkəʊkənʌt/,,
interesting,有趣的；有吸引力的,/ˈɪntrəstɪŋ/,This book is very interesting.,这本书很有趣。
seed,种子；籽,/siːd/,The farmer planted a seed in the ground.,农夫把种子种在地里。
pull,拔出；抽出,/pʊl/,The boy had to pull the heavy cart up the hill.,男孩不得不把沉重的车拉上山。
stem,（花草的）茎,/stem/,,
root,根；根茎,/ruːt/,,
lotus,莲属植物,/ˈləʊtəs/,,
lake,湖；湖泊,/leɪk/,We went boating on the lake yesterday.,我们昨天去湖上划船了。
world,世界；地球,/wɜːld/,I want to travel around the world.,我想环游世界。
round,圆形的；环形的,/raʊnd/,,
different,不同的,/ˈdɪfrənt/,We come from different cities but we are good friends.,我们来自不同的城市，但我们是好朋友。
way,方法；手段,/weɪ/,Can you tell me the way to the station?,你能告诉我去车站的路吗？
river,河；江,/ˈrɪvə(r)/,There is a bridge over the river.,河上有一座桥。
nature,自然界；大自然,/ˈneɪtʃə(r)/,We should protect nature for future generations.,我们应该为后代保护大自然。
waterfall,瀑布,/ˈwɔːtəfɔːl/,,
forest,森林；林区,/ˈfɒrɪst/,There are many wild animals in the forest.,森林里有很多野生动物。
famous,著名的；出名的,/ˈfeɪməs/,,
mountain,高山；山岳,/ˈmaʊntən/,They climbed to the top of the mountain and enjoyed the view.,他们爬到了山顶，欣赏了美景。
wind,风；气流,/wɪnd/,The wind is blowing hard.,风刮得很大。
trip,（尤指短程往返的）旅行,/trɪp/,We had a nice trip to the beach.,我们去海滩旅行很愉快。
dangerous,有危险的；不安全的,/ˈdeɪndʒərəs/,,
heavy,程度大的；严重的,/ˈhevi/,This bag is too heavy.,这个包太重了。
hotel,旅馆；旅社,/həʊˈtel/,We stayed at a nice hotel.,我们住在一家不错的旅馆。
close,关；关闭,/kləʊz/,Please close the door when you leave the room.,离开房间时请关上门。
raincoat,雨衣,/ˈreɪnkəʊt/,,
worry,担心；担忧,/ˈwʌri/,"Don't worry, everything will be fine.",别担心，一切都会好的。
fine,晴朗的,/faɪn/,He had to pay a fine for parking in the wrong place.,他因乱停车不得不支付罚款。
fog,雾,/fɒɡ/,,
flood,洪水；水灾,/flʌd/,,
fire,火；火灾,/ˈfaɪə(r)/,,
know,知道；了解,/nəʊ/,I know the answer to this question.,我知道这个问题的答案。
before,在……之前,/bɪˈfɔː(r)/,Wash your hands before eating.,吃东西前先洗手。
bring,带……到某处；带来,/brɪŋ/,,
