word,meaning,phonetic,example,example_cn
meet,/miːt/,遇见,Nice to meet you.,很高兴见到你。
friend,/frend/,朋友,You are my friend.,你是我的朋友。
nice,/naɪs/,高兴的,Nice to meet you.,很高兴见到你。
to,/tuː/,对；向,Nice to meet you.,很高兴见到你。
you,/juː/,你；你们,How are you?,你好吗？
in,/ɪn/,在……内,We are in the classroom.,我们在教室里。
the,/ðə/,这（那）个,The book is on the desk.,书在桌子上。
classroom,/ˈklɑːsruːm/,教室,This is our classroom.,这是我们的教室。
hello,/həˈləʊ/,你好,"Hello, I'm Tom.",你好，我是汤姆。
boy,/bɔɪ/,男孩,I am a boy.,我是一个男孩。
and,/ænd/,和,Tom and Lily are friends.,汤姆和莉莉是朋友。
girl,/ɡɜːl/,女孩,She is a girl.,她是一个女孩。
I,/aɪ/,我,I am a pupil.,我是一名小学生。
am,/æm/,是,I am nine.,我九岁了。
Miss,/mɪs/,女士；小姐,"Good morning, Miss Li.",早上好，李老师。
too,/tuː/,也；太,"Nice to meet you, too.",我也很高兴见到你。
apple,/ˈæpl/,苹果,This is an apple.,这是一个苹果。
banana,/bəˈnɑːnə/,香蕉,That is a banana.,那是一根香蕉。
what,/wɒt/,什么,What is this?,这是什么？
is,/ɪz/,是,This is a cat.,这是一只猫。
your,/jɔː/,你的；你们的,What's your name?,你叫什么名字？
name,/neɪm/,名字,My name is Lily.,我的名字叫莉莉。
please,/pliːz/,请,"Sit down, please.",请坐。
at,/æt/,在（某处）,I am at school.,我在学校。
school,/skuːl/,学校,I go to school.,我去上学。
gate,/ɡeɪt/,大门,Meet at the school gate.,在学校门口见。
hi,/haɪ/,你好,"Hi, Miss Wang.",你好，王老师。
my,/maɪ/,我的,My name is Lily.,我的名字叫莉莉。
cat,/kæt/,猫,The cat is white.,这只猫是白色的。
dog,/dɒɡ/,狗,My dog is small.,我的狗很小。
how,/haʊ/,怎样；多少,How are you?,你好吗？
are,/ɑː/,是,How are you?,你好吗？
home,/həʊm/,家,Let's go home.,我们回家吧。
