word,meaning,phonetic,example,example_cn
UK,英国,/ˌjuːˈkeɪ/,He moved to the UK to study at Oxford University.,他搬到英国去牛津大学学习。
Canada,加拿大,/ˈkænədə/,Canada is known for its beautiful natural landscapes.,加拿大以其美丽的自然风光而闻名。
USA,美国,/ˌjuːesˈeɪ/,She traveled to the USA for a business conference.,她去美国参加一个商务会议。
China,中国,/ˈtʃaɪnə/,This beautiful plate is made of fine china.,这个漂亮的盘子是用精细瓷器制成的。
she,她,/ʃiː/,She is my best friend at school.,她是我在学校最好的朋友。
student,学生,/ˈstjuːdnt/,She is a good student in our class.,她是我们班的好学生。
he,他,/hiː/,He is my best friend.,他是我最好的朋友。
teacher,教师,/ˈtiːtʃə(r)/,My teacher is very kind.,我的老师很和蔼。
boy,男孩,/bɔɪ/,The boy is playing football with his friends.,那个男孩正在和朋友们踢足球。
girl,女孩,/ɡɜːl/,The little girl is playing with her doll.,那个小女孩正在玩她的娃娃。
where,在哪里,/weə(r)/,Where do you live?,你住在哪里？
from,从……来；来自,/frɒm/,I am from China.,我来自中国。
today,今天,/təˈdeɪ/,Today is Monday.,今天是星期一。
about,大约；左右,/əˈbaʊt/,/'əbaut/,
after,在……后面,/ˈɑːftə(r)/,We went for a walk after dinner.,晚饭后我们去散了步。
who,谁；什么人,/huː/,Who is that girl?,那个女孩是谁？
neighbour,邻居,/ˈneɪbə(r)/,Our neighbour helped us carry the heavy furniture upstairs.,我们的邻居帮我们把沉重的家具搬上了楼。
woman,成年女子；妇女,/ˈwʊmən/,That woman is my mother.,那个女人是我妈妈。
man,成年男子；男人,/mæn/,The old man walked slowly across the street.,那位老人慢慢走过街道。
Mr,先生,/ˈmɪstə(r)/,Mr. Smith is our English teacher.,史密斯先生是我们的英语老师。
classmate,同班同学,/ˈklɑːsmeɪt/,She is my classmate and also my best friend.,她是我的同学，也是我最好的朋友。
English,英语的；英语,/ˈɪŋɡlɪʃ/,He is learning English at school.,他正在学校学习英语。
very,很；非常,/ˈveri/,The movie is very interesting.,这部电影非常有趣。
welcome,欢迎,/ˈwelkəm/,Welcome to our school!,欢迎来到我们学校！
new,新的,/njuː/,She bought a new dress for the party.,她为聚会买了一条新裙子。
pupil,小学生,/ˈpjuːpl/,The pupils are listening to the teacher carefully.,小学生们在认真听老师讲课。
back,回来,/bæk/,I will be back home before dinner.,我会在晚饭前回家。
we,我们,/wiː/,We are good friends.,我们是好朋友。
class,同学们；班级,/klɑːs/,Our English class starts at nine o'clock.,我们的英语课九点钟开始。
has,（have的第三人称单数）具有,/hæz/,She has a new bicycle.,她有一辆新自行车。
long,（长度或距离）长的,/lɒŋ/,I long for the day when we can travel again.,我渴望有一天能再次旅行。
body,身体,/ˈbɒdi/,Exercise keeps your body healthy.,运动让你的身体保持健康。
short,短的；个子矮的,/ʃɔːt/,She has short hair and brown eyes.,她留着短发，长着棕色的眼睛。
leg,腿,/leg/,He broke his leg while playing football.,他踢足球时摔断了腿。
right,（意见或判断）准确，恰当,/raɪt/,Turn right at the next corner.,在下一个拐角向右转。
fat,肥的；肥胖的,/fæt/,The cat is fat because it eats too much.,那只猫很胖，因为它吃太多了。
thin,瘦的,/θɪn/,The pencil is very thin.,这支铅笔很细。
slow,缓慢的；慢的,/sləʊ/,The turtle is very slow but it keeps moving.,乌龟很慢，但它一直在前进。
love,喜爱；爱,/lʌv/,I love spending time with my family.,我喜欢和家人在一起。
tail,尾；尾巴,/teɪl/,The dog is wagging its tail.,狗在摇尾巴。
her,她；她的,/hɜː(r)/,I gave her a gift.,我给了她一份礼物。
gift,礼物,/ɡɪft/,She received a lovely gift for her birthday.,她收到了一份可爱的生日礼物。
picture,图画；绘画,/ˈpɪktʃə(r)/,景色,/'piktʃə/
card,贺卡；卡片,/kɑːd/,,
sing,唱（歌）；演唱,/sɪŋ/,The birds sing in the morning.,鸟儿在早晨歌唱。
dance,跳舞,/dɑːns/,She loves to dance to the music.,她喜欢随着音乐跳舞。
face,脸；面孔,/feɪs/,She has a friendly face and a warm smile.,她有一张友善的面孔和温暖的微笑。
all,所有；全部,/ɔːl/,All of the students passed the exam.,所有的学生都通过了考试。
so,（表示大小或数量）这么，那么,/səʊ/,The bag was so heavy that I could not carry it.,这个包这么重，我提不动。
talk,（用某种语言）讲，说,/tɔːk/,We need to talk about the project.,我们需要谈谈这个项目。
song,歌；歌曲,/sɒŋ/,This is my favorite song.,这是我最喜欢的歌。
or,或；或者；还是,/ɔː(r)/,Would you like tea or coffee?,你想喝茶还是咖啡？
much,许多；大量,/mʌtʃ/,There is too much sugar in this coffee.,这杯咖啡里放了太多糖了。
bye,再见；再会,/baɪ/,"Bye, see you tomorrow at school.",再见，明天学校见。
eraser,橡皮,/ɪˈreɪzə(r)/,Can I borrow your eraser for a moment?,我能借一下你的橡皮吗？
find,找到；找回,/faɪnd/,Did you find your lost keys?,你找到你丢失的钥匙了吗？
ruler,直尺,/ˈruːlə(r)/,I used a ruler to draw a straight line.,我用尺子画了一条直线。
pen,钢笔,/pen/,Please write with a blue pen.,请用蓝色钢笔写。
pencil,铅笔,/ˈpensl/,She drew a picture with a pencil.,她用铅笔画了一幅画。
book,书；书籍,/bʊk/,I am reading a very interesting book.,我在读一本非常有趣的书。
bag,包；袋,/bæɡ/,She put her books and laptop into her bag.,她把书和笔记本电脑放进包里。
paper,纸,/ˈpeɪpə(r)/,,
these,这些,/ðiːz/,These books are mine.,这些书是我的。
see,看见,/siː/,I can see a bird in the tree.,我能看见树上有一只鸟。
smell,闻（气味）,/smel/,,
taste,尝（味道）,/teɪst/,This soup has a very rich taste.,这汤的味道非常浓郁。
hear,听见；听到,/hɪə(r)/,Can you hear me?,你能听见我吗？
touch,触摸；碰,/tʌtʃ/,,
sense,感觉官能（五觉）,/sens/,,
learn,学；学习,/lɜːn/,It is never too late to learn something new.,学习新东西永远不嫌晚。
nose,鼻；鼻子,/nəʊz/,He has a very big nose.,他有一个非常大的鼻子。
tongue,舌；舌头,/tʌŋ/,,
computer,计算机；电脑,/kəmˈpjuːtə(r)/,She uses a computer to do her homework.,她用电脑做作业。
breakfast,早餐；早饭,/ˈbrekfəst/,I usually eat eggs and toast for breakfast.,我早餐通常吃鸡蛋和吐司。
time,时间,/taɪm/,,
bread,面包,/bred/,I bought a loaf of bread from the bakery.,我从面包店买了一条面包。
egg,蛋；鸡蛋,/eɡ/,I had two eggs for breakfast.,我早餐吃了两个鸡蛋。
