word,meaning,phonetic,example,example_cn
sorry,对不起,/ˈsɒri/,I am sorry for being late.,对不起，我迟到了。
late,迟到；迟发生,/leɪt/,She was late for the meeting because of heavy traffic.,因为交通拥堵，她开会迟到了。
hurry up,快点,/ˈhʌri ʌp/,"Hurry up, or we will be late.",快点，否则我们要迟到了。
ready,准备好,/ˈredi/,"Dinner is ready, please wash your hands.",晚饭准备好了，请洗手。
rule,规则,/ruːl/,,
classroom,教室,/ˈklɑːsruːm/,Our classroom is clean and bright.,我们的教室干净又明亮。
light,灯；光,/laɪt/,This box is very light; I can carry it easily.,这个盒子很轻，我可以轻松拿起。
blackboard,黑板,/ˈblækbɔːd/,The teacher wrote the answer on the blackboard.,老师把答案写在黑板上。
desk,书桌,/desk/,There is a lamp on my desk.,我的书桌上有一盏台灯。
chair,椅子,/tʃeə(r)/,Please pull up a chair and sit down.,请拉把椅子坐下。
tidy,整洁的；整理,/ˈtaɪdi/,,
music,音乐,/ˈmjuːzɪk/,Listening to music helps me relax after a long day.,听音乐帮助我在漫长的一天后放松下来。
wall,墙,/wɔːl/,There is a picture on the wall.,墙上有一幅画。
door,门,/dɔː(r)/,Please close the door.,请关上门。
window,窗户,/ˈwɪndəʊ/,Please open the window.,请打开窗户。
fan,风扇,/fæn/,He is a big fan of the local football team.,他是当地足球队的狂热粉丝。
understand,懂；理解,/ˌʌndəˈstænd/,,
first,首先；第一,/fɜːst/,She was the first person to arrive at the party.,她是第一个到达派对的人。
homework,作业,/ˈhəʊmwɜːk/,I have a lot of homework to do tonight.,我今晚有很多作业要做。
watch,看；手表,/wɒtʃ/,I watch TV after school.,我放学后看电视。
TV,电视,/ˌtiːˈviː/,My grandfather watches TV every evening.,我爷爷每天晚上看电视。
newspaper,报纸,/ˈnjuːzpeɪpə(r)/,peipə/,
handout,分发,/ˈhændaʊt/,,
workbook,练习册,/ˈwɜːkbʊk/,,
clock,时钟,/klɒk/,The clock on the wall shows three o'clock.,墙上的钟显示三点钟。
minute,分钟,/ˈmɪnɪt/,Please wait for a minute while I check the information.,请等一分钟，我查一下信息。
sleep,睡觉,/sliːp/,I usually sleep for eight hours every night.,我通常每晚睡八个小时。
kid,小孩,/kɪd/,The kid is playing with his toy car.,那个小孩正在玩他的玩具车。
dinner,正餐,/ˈdɪnə(r)/,We usually have dinner at seven o'clock.,我们通常七点吃晚餐。
get up,起床,/ɡet ʌp/,I usually get up at seven in the morning.,我通常早上七点起床。
go to school,上学,/ɡəʊ tuː skuːl/,She goes to school at eight o'clock.,她八点钟去上学。
go home,回家,/ɡəʊ həʊm/,"It's getting dark, let's go home.",天快黑了，我们回家吧。
go to bed,上床睡觉,/ɡəʊ tuː bed/,"It's time to go to bed, kids.",孩子们，该上床睡觉了。
trousers,裤子,/ˈtraʊzəz/,,
pair,一条，一副,/peə(r)/,I bought a new pair of shoes.,我买了一双新鞋。
clothes,衣服；服装,/kləʊðz/,She bought some new clothes for the trip.,她为这次旅行买了一些新衣服。
shorts,短裤,/ʃɔːts/,He wore shorts because the weather was hot.,他穿了短裤，因为天气很热。
jacket,夹克衫,/ˈdʒækɪt/,She wore a warm jacket in winter.,她冬天穿了一件保暖的夹克衫。
skirt,裙子,/skɜːt/,She bought a new blue skirt for the party.,她为聚会买了一条新的蓝裙子。
dear,天哪,/dɪə(r)/,You are my dear friend.,你是我亲爱的朋友。
yours,你（们）的,/jɔːz/,"This pen is yours, not mine.",这支笔是你的，不是我的。
cow,奶牛,/kaʊ/,The cow is eating grass in the field.,奶牛正在田野里吃草。
horse,马,/hɔːs/,The horse runs very fast.,这匹马跑得非常快。
sheep,绵羊,/ʃiːp/,The farmer has many sheep on his farm.,农场主在他的农场里养了许多绵羊。
pig,猪,/pɪɡ/,The pig is eating in the farm.,猪正在农场里吃东西。
chicken,鸡；鸡肉,/ˈtʃɪkɪn/,We had roasted chicken for dinner last night.,我们昨晚晚餐吃了烤鸡。
tomato,西红柿,/təˈmɑːtəʊ/,I put tomato in my salad.,我在沙拉里放了西红柿。
carrot,胡萝卜,/ˈkærət/,Rabbits love to eat fresh carrots.,兔子喜欢吃新鲜的胡萝卜。
potato,土豆,/pəˈteɪtəʊ/,/pə'teitəu/,
green bean,四季豆,/ɡriːn biːn/,,
farm,农场,/fɑːm/,/fɑ:m/,
scarf,围巾,/skɑːf/,She wore a red scarf to keep warm.,她戴了一条红围巾来保暖。
umbrella,雨伞,/ʌmˈbrelə/,Don't forget to take an umbrella; it might rain.,别忘了带伞，可能会下雨。
sunglasses,太阳镜,/ˈsʌnɡlɑːsɪz/,She wears sunglasses on sunny days.,她在晴天戴太阳镜。
pretty,美观的；精致的,/ˈprɪti/,She looks pretty in that dress.,她穿那条裙子很好看。
expensive,昂贵的,/ɪkˈspensɪv/,This watch is too expensive for me to buy.,这块表太贵了，我买不起。
cheap,便宜的,/tʃiːp/,"This pen was very cheap, only one dollar.",这支笔非常便宜，只要一美元。
try on,试穿,/traɪ ɒn/,You can try on the dress.,你可以试穿这条裙子。
size,尺码,/saɪz/,What size shoes do you wear?,你穿什么尺码的鞋？
how much,多少钱,/haʊ mʌtʃ/,How much is this T-shirt?,这件T恤衫多少钱？
