word,meaning,phonetic,example,example_cn
nice,令人愉快的,/naɪs/,It's a nice day for a picnic in the park.,今天天气很好，适合去公园野餐。
ear,耳朵,/ɪə(r)/,Rabbits have long ears.,兔子有长耳朵。
hand,手,/hænd/,He raised his hand to ask a question.,他举手问问题。
eye,眼睛,/aɪ/,She has beautiful blue eyes.,她有一双美丽的蓝眼睛。
mouth,嘴,/maʊθ/,You should cover your mouth when you cough.,咳嗽时你应该捂住嘴巴。
arm,胳膊,/ɑːm/,She broke her arm when she fell off her bike.,她从自行车上摔下来时摔断了胳膊。
can,可以,/kæn/,I can swim very well.,我游泳游得很好。
share,分享,/ʃeə(r)/,Please share your snacks with your sister.,请和你妹妹分享你的零食。
smile,微笑,/smaɪl/,,
listen,听；倾听,/ˈlɪs(ə)n/,,
help,帮助,/help/,Can you help me with this problem?,你能帮我解决这个问题吗？
say,说；讲,/seɪ/,What did you say to the teacher?,你对老师说了什么？
and,和；与,/ænd/,I bought apples and oranges at the store.,我在商店买了苹果和橙子。
goodbye,再见,/ɡʊdˈbaɪ/,,
toy,玩具,/tɔɪ/,The child is playing with a toy.,那个孩子在玩玩具。
friend,朋友,/frend/,She is my best friend at school.,她是我在学校最好的朋友。
good,好的,/ɡʊd/,This is a very good book.,这是一本非常好的书。
mum,妈妈（口语）,/mʌm/,My mum packed lunch for me this morning.,我妈妈今早帮我准备了午餐。
dad,爸爸（口语）,/dæd/,My dad takes me to school every morning.,我爸爸每天早上送我去上学。
grandma,奶奶；外婆,/ˈɡrænmɑː/,Grandma bakes the best cookies.,奶奶烤的饼干最好吃。
grandpa,爷爷；外公,/ˈɡrænpɑː/,Grandpa likes to take walks in the garden.,爷爷喜欢在花园里散步。
grandfather,（外）祖父,/ˈɡrænfɑːðə(r)/,My grandfather tells me stories every evening.,我的（外）祖父每天晚上给我讲故事。
grandmother,（外）祖母,/ˈɡrænmʌðə(r)/,My grandmother lives in a small village.,我的（外）祖母住在一个小村庄里。
mother,母亲；妈妈,/ˈmʌðə(r)/,My mother cooks dinner for the family every evening.,我妈妈每天晚上为全家人做晚饭。
