word,meaning,phonetic,example,example_cn
our,/ˈaʊə(r)/,我们的,This is our school.,这是我们的学校。
animal,/ˈænɪm(ə)l/,动物,I like animals.,我喜欢动物。
bear,/beə(r)/,熊,The bear is big.,这只熊很大。
horse,/hɔːs/,马,The horse can run fast.,马跑得很快。
can,/kæn; kən/,能；会,I can swim.,我会游泳。
run,/rʌn/,跑,Let's run together.,我们一起跑吧。
fast,/fɑːst/,快地；快的,Don't run too fast.,别跑太快。
bird,/bɜːd/,鸟,The bird can fly.,鸟会飞。
beautiful,/ˈbjuːtɪf(ə)l/,美丽的,What a beautiful bird!,多么漂亮的鸟啊！
panda,/ˈpændə/,熊猫,The panda is from China.,熊猫来自中国。
bag,/bæɡ/,包；袋子,This is my school bag.,这是我的书包。
hat,/hæt/,帽子,Put on your hat.,戴上你的帽子。
these,/ðiːz/,这些,These are my books.,这些是我的书。
small,/smɔːl/,小的,The cat is small.,这只猫很小。
ear,/ɪə(r)/,耳朵,The rabbit has long ears.,兔子有长耳朵。
eye,/aɪ/,眼睛,Close your eyes.,闭上你的眼睛。
baby,/ˈbeɪbi/,婴儿；幼崽,The baby panda is cute.,熊猫宝宝很可爱。
lovely,/ˈlʌvli/,可爱的,What a lovely day!,多么美好的一天！
see,/siː/,看；看见,I can see a bird.,我能看见一只鸟。
all,/ɔːl/,全部,All the animals are here.,所有的动物都在这里。
those,/ðəʊz/,那些,What are those?,那些是什么？
brown,/braʊn/,棕色的,The bear is brown.,熊是棕色的。
long,/lɒŋ/,长的,The monkey has a long tail.,猴子有长尾巴。
leg,/leɡ/,腿,The horse has four legs.,马有四条腿。
like,/laɪk/,喜欢；像,I like pandas.,我喜欢熊猫。
grass,/ɡrɑːs/,草,Cows eat grass.,牛吃草。
ride,/raɪd/,骑,I can ride a bike.,我会骑自行车。
cool,/kuːl/,酷的；凉爽的,That's so cool!,太酷了！
face,/feɪs/,脸,Touch your face.,摸摸你的脸。
guess,/ɡes/,猜,Guess what it is.,猜猜它是什么。
jump,/dʒʌmp/,跳,The rabbit can jump.,兔子会跳。
mouth,/maʊθ/,嘴巴,Open your mouth.,张开你的嘴。
carrot,/ˈkærət/,胡萝卜,Rabbits like carrots.,兔子喜欢吃胡萝卜。
